k,atr_window,holding_period,cost,CAGR,Annualized Volatility,Sharpe Ratio,Max Drawdown,Worst 5% Avg Return
1.0,20,5,0.001,-0.3109320351256086,0.3234077121372858,-0.9504845875394288,-0.9999402796071472,-0.0497231275618628
1.5,20,5,0.001,-0.0854270762753881,0.1792251909049655,-0.4053605110501121,-0.9183434172866656,-0.0263356098092644
1.5,20,5,0.001,-0.05563130201517974,0.17935264971978043,-0.23134029924608027,-0.801641162813404,-0.027112755100707275
